Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Man Ki Bas Tu Hi Jaane,4:27,Aaman Trikha,Man Ki Bas Tu Hi Jaane - Single,Bollywood,0,,17/07/2019,2019,1,,"12/02/2024, 5:06 PM"
The Man Who Never Lied,3:25,Maroon 5,Overexposed (Deluxe Version),Pop,1,3,20/06/2012,2012,15,"13/10/2023, 5:44 PM","06/08/2020, 10:00 PM"
Manaka Da Munda,2:32,Jass Manak,Age 19,Punjabi Pop,1,12,19/02/2019,2019,6,"13/09/2024, 4:57 PM","08/08/2020, 2:01 AM"
Mantoiyat,2:56,Raftaar & Nawazuddin Siddiqui,Mantoiyat (Original Motion Picture Soundtrack) - Single,Bollywood,1,5,12/09/2018,2018,8,"15/07/2023, 9:06 AM","04/06/2022, 7:44 PM"
Maps,3:10,Maroon 5,V (Deluxe),Pop,1,5,16/06/2014,2014,10,"12/09/2024, 8:28 AM","06/08/2020, 9:58 PM"
Mark My Words,2:14,Justin Bieber,Purpose (Deluxe),Pop,1,8,13/11/2015,2015,8,"04/06/2024, 8:12 AM","06/08/2020, 8:37 PM"
Marry Me,3:45,Jason Derulo,Tattoos,Pop,1,3,26/08/2013,2013,13,"02/06/2022, 12:40 PM","07/08/2020, 2:03 AM"
Marry Me (First Dance Mix),3:31,Train,"Save Me, San Francisco (Golden Gate Edition)",Pop,1,2,27/10/2009,2009,9,"12/03/2022, 3:47 AM","13/10/2020, 4:01 PM"
Marry You,3:50,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version),Pop,1,4,04/10/2010,2010,10,"13/05/2022, 1:58 PM","06/08/2020, 10:03 PM"
Marvin Gaye (feat. Meghan Trainor),3:10,Charlie Puth,Nine Track Mind,Pop,0,1,10/02/2015,2015,,"07/09/2024, 8:06 AM","30/04/2024, 9:16 PM"
Mast Magan,4:40,Arijit Singh & Chinmayi Sripada,2 States (Original Motion Picture Soundtrack),Bollywood,0,4,14/03/2014,2014,12,"07/06/2022, 8:59 PM","07/08/2020, 9:55 AM"
Mazaa,4:24,B. Praak,Mazaa - Single,Indian Pop,0,8,23/02/2021,2021,17,"03/06/2024, 8:26 AM","15/03/2021, 2:16 AM"
Me and My Broken Heart,3:14,Rixton,Let the Road,Pop,1,3,14/03/2014,2014,8,"25/09/2023, 6:16 AM","04/11/2020, 5:19 PM"
"Me, Myself & I",4:11,G-Eazy x Bebe Rexha,When It's Dark Out,Hip-Hop/Rap,0,8,14/10/2015,2015,6,"13/08/2024, 11:39 AM","12/04/2022, 11:41 AM"
Meant to Be,2:44,Bebe Rexha & Florida Georgia Line,All Your Fault: Pt. 2 - EP,Pop,1,3,11/08/2017,2017,8,"05/11/2023, 7:25 AM","12/08/2020, 10:41 AM"
Mehram,3:48,Sachet Tandon,Jersey (Original Motion Picture Soundtrack) - EP,Bollywood,0,4,02/12/2021,2021,10,"16/05/2024, 9:27 AM","14/01/2022, 9:28 AM"
Mehrama,4:09,"Pritam, Darshan Raval & Antara Mitra",Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,15,07/02/2020,2020,8,"16/07/2024, 10:29 AM","07/08/2020, 12:47 AM"
Mehrama (Extended),5:38,"Pritam, Darshan Raval & Antara Mitra",Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,10,14/02/2020,2020,14,"18/05/2024, 8:55 AM","07/08/2020, 12:47 AM"
Memories,3:09,Maroon 5,JORDI,Pop,0,3,20/09/2019,2019,7,"01/09/2024, 7:30 AM","09/06/2022, 8:51 PM"
Memories,3:09,Maroon 5,Memories - Single,Pop,1,14,20/09/2019,2019,7,"16/11/2023, 9:03 AM","06/08/2020, 9:00 PM"
Meneo,3:43,Fito Blanko,Meneo - Single,Latin Urban,1,6,08/10/2013,2013,6,"06/12/2023, 7:47 AM","11/08/2020, 10:02 PM"
Mere Bina,4:50,Pritam & Nikhil D'Souza,Crook (Original Motion Picture Soundtrack),Bollywood,1,6,31/08/2010,2010,13,"05/05/2023, 7:22 AM","07/08/2020, 9:20 AM"
Mere Sawaal Ka,4:15,"Pritam, Shashwat Singh, Shalmali Kholgade & Shloke Lal",Shehzada (Original Motion Picture Soundtrack) - EP,Bollywood,0,8,01/02/2023,2023,8,"19/08/2024, 8:39 AM","15/04/2023, 1:31 AM"
Mere Sawaal Ka (King Version),3:08,"Pritam, King & Shloke Lal",Shehzada (Original Motion Picture Soundtrack) - EP,Bollywood,0,6,28/02/2023,2023,4,"17/01/2024, 5:12 PM","15/04/2023, 1:31 AM"
Messin' Around (with Enrique Iglesias),3:43,Pitbull,Climate Change,Pop,1,4,08/04/2016,2016,5,"19/06/2024, 10:53 AM","05/08/2020, 11:24 PM"
Microphone Check,2:14,Raftaar,Microphone Check - Single,Indian,0,,17/11/2020,2020,,,"18/12/2020, 1:05 AM"
Midnight Dancer,2:44,Aaron McBee,Midnight Dancer - Single,Country,0,2,15/09/2023,2023,,"10/11/2023, 3:35 PM","04/10/2023, 12:30 PM"
Midnight Ride,3:32,"Orville Peck, Kylie Minogue & Diplo",Midnight Ride - Single,Country,0,1,10/05/2024,2024,1,"28/07/2024, 8:06 PM","18/07/2024, 10:04 PM"
"Midnight, The Stars and You",3:27,Al Bowlly,Sing as We Go... The Best of Al Bowlly,Jazz,0,,16/12/1993,1993,1,,"12/02/2024, 5:06 PM"
Miles On It,2:48,Marshmello & Kane Brown,Miles On It - Single,Country,0,5,03/05/2024,2024,4,"23/07/2024, 7:10 AM","05/06/2024, 9:21 AM"
Mileya Mileya,4:26,"Rekha Bhardwaj, Jigar Saraiya & Priya Andrews",Happy Ending (Original Motion Picture Soundtrack),Bollywood,2,40,29/10/2014,2014,10,"10/10/2023, 5:10 AM","09/09/2020, 12:59 AM"
A Milli,3:42,Lil Wayne,Tha Carter III (Deluxe Revised),Hip-Hop/Rap,1,4,23/04/2008,2008,10,"08/11/2023, 6:36 AM","11/08/2020, 8:51 PM"
Mirror (feat. Bruno Mars),3:48,Lil Wayne,Tha Carter IV (Deluxe Edition),Hip-Hop/Rap,1,3,29/08/2011,2011,6,"23/08/2021, 11:44 PM","11/08/2020, 8:57 PM"
Mission Impossible Theme,3:28,,Mission Impossible,Soundtrack,0,,,,,,"03/06/2023, 9:39 AM"
Mockingbird,4:11,Eminem,Curtain Call: The Hits,Hip-Hop/Rap,0,3,12/11/2004,2004,3,"04/08/2024, 1:28 PM","14/09/2023, 7:20 AM"
Mockingbird,4:11,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,1,12/11/2004,2004,,"07/08/2024, 1:50 PM","22/06/2024, 7:08 AM"
Mockingbird,4:11,Eminem,Encore (Deluxe Version),Hip-Hop/Rap,0,1,12/11/2004,2004,1,"21/09/2024, 8:16 PM","25/05/2024, 7:02 AM"
The Monster (feat. Rihanna),4:10,Eminem,The Marshall Mathers LP2 (Deluxe),Hip-Hop/Rap,2,13,29/10/2013,2013,10,"10/10/2023, 5:28 AM","05/08/2020, 11:21 PM"
The Monster (feat. Rihanna),4:10,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,1,29/10/2013,2013,,"21/09/2024, 8:21 PM","22/06/2024, 7:08 AM"
Mood (feat. iann dior),2:21,24kGoldn,Mood (feat. iann dior) - Single,Hip-Hop/Rap,1,29,24/07/2020,2020,9,"17/01/2024, 5:58 PM","15/10/2020, 12:28 AM"
Mourning,2:28,Post Malone,AUSTIN (Bonus),Pop,0,9,19/05/2023,2023,5,"18/09/2024, 12:41 PM","11/11/2023, 6:45 AM"
Move On,2:58,Mike Posner,A Real Good Kid,Alternative,1,9,18/01/2019,2019,11,"19/07/2024, 7:09 AM","05/08/2020, 11:29 PM"
Moves (feat. Snoop Dogg),2:45,Olly Murs,Moves (feat. Snoop Dogg) - Single,Pop,1,7,28/09/2018,2018,4,"24/01/2024, 8:26 PM","28/10/2020, 7:56 PM"
Mr. Tambourine Man,5:27,Bob Dylan,Bob Dylan's Greatest Hits,Rock,1,3,22/03/1965,1965,11,"13/04/2023, 9:46 AM","11/01/2021, 10:05 PM"
My Angel,3:10,Prince Royce,Furious 7 (Original Motion Picture Soundtrack),Pop,1,5,17/03/2015,2015,12,"13/05/2024, 8:13 AM","05/08/2020, 11:28 PM"
My Babe,2:32,Dale Hawkins,Here Comes... Dale Hawkins!,Rock,0,,22/07/1957,1957,1,,"10/07/2024, 7:37 PM"
My Dil Goes Mmmm,7:33,"Vishal & Shekhar, Gayatri Iyer & Shaan",Salaam Namaste (Original Motion Picture Soundtrack),Bollywood,0,,08/03/2005,2005,1,,"20/01/2024, 8:58 PM"
My Girl,3:14,Dylan Scott,Dylan Scott (Deluxe Edition),Country,1,5,11/07/2016,2016,13,"23/06/2024, 10:48 AM","05/08/2020, 11:02 PM"
My Gospel,3:31,Charlie Puth,Nine Track Mind,Pop,0,1,29/01/2016,2016,1,"13/07/2024, 7:21 AM","30/04/2024, 9:16 PM"
"My Heart Will Go On (Love Theme from ""Titanic"")",4:40,Céline Dion,Let's Talk About Love,Pop,0,,14/11/1997,1997,3,,"19/08/2022, 2:40 PM"
My House,3:12,Flo Rida,My House,Hip-Hop/Rap,1,16,07/04/2015,2015,7,"16/07/2024, 6:40 PM","07/08/2020, 12:34 AM"
My Name Is,4:29,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,1,25/01/1999,1999,,"18/08/2024, 1:46 PM","22/06/2024, 7:08 AM"
My Name Is,4:28,Eminem,The Slim Shady LP,Hip-Hop/Rap,1,2,25/01/1999,1999,7,"13/01/2024, 8:57 AM","06/08/2020, 9:33 PM"
My Name Is,4:28,Eminem,The Slim Shady LP (Expanded Edition),Hip-Hop/Rap,0,,25/01/1999,1999,1,,"27/05/2024, 2:39 PM"
My Where I Come From,3:02,Kane Brown,Experiment Extended,Country,0,4,09/11/2018,2018,9,"21/07/2024, 8:10 AM","13/04/2021, 4:22 PM"
N.R.I.,2:26,Raja Kumari,N.R.I. - Single,Hip-Hop/Rap,1,7,24/04/2020,2020,10,"07/01/2024, 5:33 PM","10/06/2022, 12:45 AM"
Na Ja,3:28,Pav Dharia,Na Ja - Single,Indian,1,6,20/02/2017,2017,7,"19/06/2024, 10:44 AM","08/08/2020, 1:06 AM"
Na Na Na Na,3:30,J Star,Na Na Na Na - Single,Indian Pop,1,10,11/02/2015,2015,5,"28/12/2023, 5:20 AM","08/08/2020, 1:06 AM"
Naachne Ka Shaunq,3:38,Raftaar & Brodha V,Mr. Nair,Soundtrack,1,8,13/04/2020,2020,8,"23/11/2023, 3:06 PM","05/04/2022, 12:07 PM"
Nadaan Parinde,6:24,A.R. Rahman & Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,0,,30/09/2011,2011,,,"11/06/2024, 7:26 AM"
Nah Nah Nah,2:59,Kanye West,Nah Nah Nah - Single,Hip-Hop/Rap,1,,16/10/2020,2020,,,"18/10/2020, 2:25 PM"
"Naina (From ""Crew"")",3:00,"Diljit Dosanjh, Badshah & Raj Ranjodh","Naina (From ""Crew"") - Single",Soundtrack,0,1,05/03/2024,2024,3,"06/10/2024, 7:36 AM","28/04/2024, 8:50 PM"
Naked,3:54,James Arthur,Naked - Single,Pop,1,5,10/12/2019,2019,10,"06/10/2024, 7:39 AM","06/08/2020, 10:44 PM"
Namo Namo,5:22,Amit Trivedi,Kedarnath (Original Motion Picture Soundtrack),Bollywood,2,15,05/11/2018,2018,11,"06/10/2024, 7:45 AM","06/08/2020, 10:04 PM"
